name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Diddy Riese Cookies,Desserts,4.8,Excellent,470,$,10,1,Westwood,Westwood,Los Angeles,90024,216,34.0630526000,-118.4468600000,0,0
Aroma Coffee & Tea,"Coffee and Tea, Desserts",4.7,Excellent,221,$,25,2,"Tujunga Avenue, Studio City","Tujunga Avenue, Studio City, Los Angeles",Los Angeles,91604,216,34.1494319000,-118.3787579000,0,0
Angel Maid Bakery,,4.7,Excellent,29,$,40,3,"South Centinela Avenue, Del Rey","South Centinela Avenue, Del Rey, Los Angeles",Los Angeles,90066,216,33.9923659000,-118.4221910000,0,0
Alcove Cafe & Bakery,"American, Coffee and Tea",4.6,Excellent,286,$,25,2,"Hillhurst Avenue, Los Feliz","Hillhurst Avenue, Los Feliz, Los Angeles",Los Angeles,90027,216,34.1063127000,-118.2877515000,0,0
Milk,"Bakery, American, Desserts",4.4,Very Good,209,$,25,2,"Beverly Boulevard, Melrose","Beverly Boulevard, Melrose, Los Angeles",Los Angeles,90036,216,34.0758712000,-118.3484353000,0,0
Nat's Early Bite Coffee Shop,"Breakfast, Sandwich",4.4,Very Good,86,$,10,1,"Burbank Boulevard, Sherman Oaks","Burbank Boulevard, Sherman Oaks, Los Angeles",Los Angeles,91401,216,34.1722971000,-118.4405619000,0,0
Joan's on Third,American,4.3,Very Good,175,$,25,2,"West 3rd Street, Carthay","West 3rd Street, Carthay, Los Angeles",Los Angeles,90048,216,34.0726992000,-118.3718092000,0,0
Canter's Deli,"American, Deli",4.2,Very Good,248,$,25,2,"North Fairfax Avenue, Melrose","North Fairfax Avenue, Melrose, Los Angeles",Los Angeles,90036,216,34.0789742000,-118.3618750000,0,0
Toast,American,4.1,Very Good,157,$,25,2,"West 3rd Street, Carthay","West 3rd Street, Carthay, Los Angeles",Los Angeles,90048,216,34.0727688000,-118.3688071000,0,0
3 Square Café + Bakery,"Burger, Sandwich",4.1,Very Good,101,$,25,2,Venice,Venice,Los Angeles,90291,216,33.9918673000,-118.4697792000,0,0
The Cheesecake Factory,American,4.1,Very Good,67,$,25,2,"Canoga Avenue, Woodland Hills","Canoga Avenue, Woodland Hills, Los Angeles",Los Angeles,91367,216,34.1854731000,-118.5969535000,0,0
Syrup Desserts,"Coffee and Tea, Desserts",4.1,Very Good,57,$,10,1,"South Spring Street, Downtown","South Spring Street, Downtown, Los Angeles",Los Angeles,90014,216,34.0457830000,-118.2514695000,0,0
Phoenix Bakery,"Chinese, Dim Sum",4.1,Very Good,22,$,40,3,"North Broadway, Chinatown","North Broadway, Chinatown, Los Angeles",Los Angeles,90012,216,34.0659535000,-118.2367150000,0,0
Panera Bread,Sandwich,4.1,Very Good,17,$,10,1,"South Sepulveda Boulevard, Westchester","South Sepulveda Boulevard, Westchester, Los Angeles",Los Angeles,90045,216,33.9586673000,-118.3966364000,0,0
République,French,4.0,Very Good,61,$,40,3,"South La Brea Ave, Hancock Park","South La Brea Ave, Hancock Park, Los Angeles",Los Angeles,90036,216,34.0641783000,-118.3436788000,0,0
The Cheesecake Factory,American,4.0,Very Good,71,$,25,2,"The Grove Drive, Park La Brea","The Grove Drive, Park La Brea, Los Angeles",Los Angeles,90036,216,34.0730618000,-118.3585639000,0,0
Figaro Bistrot,French,4.0,Very Good,99,$,40,3,"North Vermont Avenue, Los Feliz","North Vermont Avenue, Los Feliz, Los Angeles",Los Angeles,90027,216,34.1037792000,-118.2915156000,0,0
Stan's Corner Donut Shoppe,"Desserts, Donuts",4.0,Very Good,39,$,10,1,"Weyburn Avenue, Westwood","Weyburn Avenue, Westwood, Los Angeles",Los Angeles,90024,216,34.0623768000,-118.4468098000,0,0
Farmshop,"American, Bakery",3.9,Good,69,$,35,3,Brentwood,Brentwood,Los Angeles,90402,216,34.0475109000,-118.4904307000,0,0
Little Next Door,Bakery,3.9,Good,75,$,25,2,"West 3rd Street, Carthay","West 3rd Street, Carthay, Los Angeles",Los Angeles,,216,34.0720869000,-118.3673600000,0,0
Sweet Butter Kitchen,Breakfast,3.9,Good,41,$,25,2,"Ventura Boulevard, Sherman Oaks","Ventura Boulevard, Sherman Oaks, Los Angeles",Los Angeles,91423,216,34.1482654000,-118.4339792000,0,0
Amandine Patissiere,,3.9,Good,47,$,40,3,Brentwood,Brentwood,Los Angeles,90025,216,34.0432285000,-118.4689334000,0,0
Beard Papa's,Desserts,3.9,Good,44,$,10,1,"Sawtelle Boulevard, West Los Angeles","Sawtelle Boulevard, West Los Angeles, Los Angeles",Los Angeles,90025,216,34.0391901000,-118.4414953000,0,0
Le Pain Quotidien,"Breakfast, European",3.9,Good,23,$,25,2,Brentwood,Brentwood,Los Angeles,90049,216,34.0644108000,-118.4693784000,0,0
Belwood Bakery,Sandwich,3.9,Good,20,$,10,1,Brentwood,Brentwood,Los Angeles,90049,216,34.0652507000,-118.4694895000,0,0
Arda's Cafe,"Breakfast, Sandwich",3.9,Good,20,$,10,1,"West 6th Street, Downtown","West 6th Street, Downtown, Los Angeles",Los Angeles,90014,216,34.0475711000,-118.2538714000,0,0
Eagle Rock Italian Bakery,,3.9,Good,17,$,10,1,"Colorado Boulevard, Eagle Rock","Colorado Boulevard, Eagle Rock, Los Angeles",Los Angeles,90041,216,34.1391818000,-118.2046106000,0,0
Bea's Bakery,Desserts,3.9,Good,19,$,10,1,"Clark Street, Tarzana","Clark Street, Tarzana, Los Angeles",Los Angeles,91356,216,34.1695677000,-118.5350702000,0,0
Italia Bakery & Deli,"Italian, Sandwich",3.9,Good,19,$,10,1,"Balboa Boulevard, Granada Hills","Balboa Boulevard, Granada Hills, Los Angeles",Los Angeles,91344,216,34.2736704000,-118.5010607000,0,0
Proof Bakery,"Coffee and Tea, Desserts",3.8,Good,31,$,10,1,"Glendale Boulevard, Atwater Village","Glendale Boulevard, Atwater Village, Los Angeles",Los Angeles,90039,216,34.1169451000,-118.2615840000,0,0
Natas Pastries,"Tapas, Portuguese",3.8,Good,37,$,25,2,"Ventura Boulevard, Sherman Oaks","Ventura Boulevard, Sherman Oaks, Los Angeles",Los Angeles,91423,216,34.1469388000,-118.4232529000,0,0
Superba Food and Bread,,3.8,Good,28,$,0,1,"Lincoln Boulevard, Venice","Lincoln Boulevard, Venice, Los Angeles",Los Angeles,90291,216,33.9961770000,-118.4564616000,0,0
Cafe Tropical,"Coffee and Tea, Cuban",3.8,Good,43,$,10,1,"Sunset Boulevard, Temple-Beaudry","Sunset Boulevard, Temple-Beaudry, Los Angeles",Los Angeles,90026,216,34.0827850000,-118.2736220000,0,0
Aroma Bakery Cafe,International,3.8,Good,27,$,25,2,"Ventura Boulevard, Encino","Ventura Boulevard, Encino, Los Angeles",Los Angeles,91316,216,34.1652636000,-118.5258832000,0,0
Mishi's Strudel Bakery & Cafe,"Coffee and Tea, Eastern European",3.8,Good,18,$,10,1,San Pedro,San Pedro,Los Angeles,90731,216,33.7375738000,-118.2838300000,0,0
Swork,Coffee and Tea,3.8,Good,26,$,10,1,"Colorado Boulevard, Eagle Rock","Colorado Boulevard, Eagle Rock, Los Angeles",Los Angeles,90041,216,34.1388487000,-118.2139044000,0,0
Duna Csarda,"European, Eastern European",3.8,Good,23,$,25,2,"Melrose Avenue, Melrose","Melrose Avenue, Melrose, Los Angeles",Los Angeles,90038,216,34.0833588000,-118.3273069000,0,0
