name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Café Cre Asion,"Desserts, Cafe Food, Coffee and Tea",4.7,Excellent,767,$,30,2,CBD,"CBD, Sydney",Sydney,2000,14,-33.8780559000,151.2105775997,0,0
Trio,"Mediterranean, Cafe Food, Coffee and Tea",4.7,Excellent,574,$,70,3,Bondi Beach,"Bondi Beach, Sydney",Sydney,2026,14,-33.8933384422,151.2726928666,0,0
Bourke Street Bakery,"Cafe Food, Bakery, Desserts, Coffee and Tea",4.7,Excellent,1953,$,30,2,Surry Hills,"Surry Hills, Sydney",Sydney,2010,14,-33.8895111054,151.2149925157,0,0
The Grounds of Alexandria Cafe,"Coffee and Tea, Salad, Poké, Cafe Food",4.6,Excellent,3092,$,80,3,"The Grounds of Alexandria, Alexandria","The Grounds of Alexandria, Alexandria, Sydney",Sydney,2015,14,-33.9108453718,151.1942721158,0,0
La Renaissance Cafe Patisserie,"Desserts, Bakery, French, Patisserie, Cafe Food, Coffee and Tea",4.6,Excellent,759,$,40,2,The Rocks,"The Rocks, Sydney",Sydney,2000,14,-33.8592169881,151.2084536254,0,0
Circa,"Cafe Food, Coffee and Tea",4.6,Excellent,887,$,45,2,Parramatta,"Parramatta, Sydney",Sydney,2150,14,-33.8187161886,151.0051136836,0,0
Revolver,"Coffee and Tea, Cafe Food",4.5,Excellent,741,$,45,2,Annandale,"Annandale, Sydney",Sydney,02038,14,-33.8760219365,151.1720925942,0,0
Social Brew Cafe,"Cafe Food, Coffee and Tea",4.5,Excellent,255,$,70,3,Pyrmont,"Pyrmont, Sydney",Sydney,2009,14,-33.8716167514,151.1952286586,0,0
Rustic Pearl,"Turkish, Cafe Food, Coffee and Tea",4.5,Excellent,592,$,50,2,Surry Hills,"Surry Hills, Sydney",Sydney,2010,14,-33.8863209702,151.2137395889,0,0
John Smith Cafe,"Cafe Food, Coffee and Tea",4.5,Excellent,504,$,40,2,Alexandria,"Alexandria, Sydney",Sydney,2017,14,-33.9004407695,151.2007509917,0,0
